Sr No.,Player me,Team Code,Age,Player Height,Player_Weight,country,draft_year,draft_round,draft_number,pts,net_rating
4922,Josh Smith,ATL,22,205.74,106.59412,USA,2004,1,17,17.2,-0.9
4923,Josh Powell,LAC,25,205.74,108.86208,USA,,,,5.5,-13.4
4924,Josh McRoberts,POR,21,208.28,108.86208,USA,2007,2,37,1.5,23
4925,Josh Howard,DAL,28,195.58,95.25432,USA,2003,1,29,19.9,8.1
4926,Josh Childress,ATL,25,203.2,95.25432,USA,2004,1,6,11.8,-2.7
4927,Josh Boone,NJN,23,208.28,107.501304,USA,2006,1,23,8.2,-4.4
4928,Jose Calderon,TOR,26,190.5,95.25432,Spain,,,,11.2,3.7
4929,Jorge Garbajosa,TOR,30,205.74,111.13004,USA,,,,3.1,-8.4
4930,Jelani McCoy,DEN,30,208.28,111.13004,USA,1998,2,33,0.5,-18.1
4931,Jordan Farmar,LAL,21,187.96,81.64656,USA,2006,1,26,9.1,8.6
4932,Johan Petro,SEA,22,213.36,112.037224,France,2005,1,25,6,-11.3
4933,Joey Graham,TOR,26,200.66,102.0582,USA,2005,1,16,3.6,1.6
4934,Joel Przybilla,POR,28,215.9,115.66596,USA,2000,1,9,4.8,-2.6
4935,Joel Anthony,MIA,25,205.74,111.13004,Cada,,,,3.5,-13.9
4936,Joe Smith,CLE,32,208.28,102.0582,USA,1995,1,1,10.1,-1.3
4937,Joe Johnson,ATL,27,200.66,106.59412,USA,2001,1,10,21.7,-0.9
4938,Joakim Noah,CHI,23,210.82,105.233344,USA,2007,1,9,6.6,-0.4
4939,Jerry Stackhouse,DAL,33,198.12,98.883056,USA,1995,1,3,10.7,2.5
4940,Jerome James,NYK,32,215.9,129.27372,USA,1998,2,36,2,52.2
4941,Jermareo Davidson,CHA,23,208.28,104.32616,USA,2007,2,36,3.2,-11.3
4942,Jermaine O'Neal,IND,29,210.82,117.93392,USA,1996,1,17,13.6,-1.3
4943,John Salmons,SAC,28,198.12,93.893544,USA,2002,1,26,12.5,-5.8
4944,Juwan Howard,DAL,35,205.74,114.758776,USA,1994,1,5,1.1,-6.5
4945,Ricky Davis,MIA,28,200.66,92.98636,USA,1998,1,21,13.8,-10.4
4946,Robert Swift,SEA,22,215.9,111.13004,USA,2004,1,12,1.8,-16.9
4947,Shawn Marion,MIA,30,200.66,104.32616,USA,1999,1,9,15.4,5.4
4948,Shawne Williams,IND,22,205.74,102.0582,USA,2006,1,17,6.7,-1.1
4949,Shelden Williams,SAC,24,205.74,113.398,USA,2006,1,5,4,-2.3
4950,Smush Parker,LAC,27,193.04,86.18248,USA,,,,5.9,-8.7
4951,Solomon Jones,ATL,23,208.28,104.32616,USA,2006,2,33,1,-17.7
4952,Spencer Hawes,SAC,20,213.36,111.13004,USA,2007,1,10,4.7,-4.4
4953,Stephane Lasme,MIA,25,203.2,97.52228,Gabon,2007,2,46,5.2,-6.4
4954,Stephen Graham,IND,26,198.12,97.52228,USA,,,,4,1.5
4955,Stephen Jackson,GSW,30,203.2,98.883056,USA,1997,2,42,20.1,3.8
4956,Stephon Marbury,NYK,31,187.96,92.98636,USA,1996,1,4,13.9,-11.4
4957,Steve Blake,POR,28,190.5,78.017824,USA,2003,2,38,8.5,1.3
4958,Shavlik Randolph,PHI,24,208.28,108.86208,USA,,,,0.9,25.3
4959,Steve Francis,HOU,31,190.5,95.25432,USA,1999,1,2,5.5,-1.5
4960,Steve Novak,HOU,25,208.28,99.79024,USA,2006,2,32,3.9,-5
4961,Steven Hunter,DEN,26,213.36,108.86208,USA,2001,1,15,2.1,-7.6
4962,Stromile Swift,NJN,28,208.28,99.79024,USA,2000,1,2,6.1,-4.8
4963,T.J. Ford,TOR,25,182.88,74.84268,USA,2003,1,8,12.1,0.8
4964,Tarence Kinsey,MEM,24,198.12,81.192968,USA,,,,3.6,2.3
4965,Taurean Green,DEN,21,182.88,80.285784,USA,2007,2,52,1.6,5.4
4966,Tayshaun Prince,DET,28,205.74,97.52228,USA,2002,1,23,13.2,9.4
4967,Thabo Sefolosha,CHI,24,200.66,97.52228,Switzerland,2006,1,13,6.7,-2.3
4968,Thaddeus Young,PHI,20,203.2,99.79024,USA,2007,1,12,8.2,6
4969,Theo Ratliff,DET,35,208.28,106.59412,USA,1995,1,18,4.3,-0.3
4970,Thomas Gardner,CHI,23,195.58,102.0582,USA,,,,5.3,-7.2
4971,Steve sh,PHX,34,190.5,80.739376,Cada,1996,1,15,16.9,10.3
4972,Robert Horry,SAS,37,208.28,108.86208,USA,1992,1,11,2.5,0.2
4973,Shareef Abdur-Rahim,SAC,31,205.74,111.13004,USA,1996,1,3,1.7,-1.9
4974,Shannon Brown,CHI,22,193.04,95.707912,USA,2006,1,25,5.4,-19.6
4975,Rodney Carney,PHI,24,200.66,92.532768,USA,2006,1,16,5.8,0.7
4976,Rodney Stuckey,DET,22,195.58,92.98636,USA,2007,1,15,7.6,3.6
4977,Roger Mason Jr.,WAS,27,195.58,96.161504,USA,2002,2,30,9.1,-1.7
4978,Rold Dupree,SEA,27,200.66,94.800728,USA,,,,0.8,13.6
4979,Ronnie Brewer,UTA,23,200.66,101.151016,USA,2006,1,14,12,6.1
4980,Ronnie Price,UTA,25,187.96,86.18248,USA,,,,3.7,13.8
4981,Ronny Turiaf,LAL,25,208.28,113.398,France,2005,2,37,6.6,5.1
4982,Royal Ivey,MIL,26,193.04,97.52228,USA,2004,2,37,5.6,-8.6
4983,Ruben Patterson,LAC,32,195.58,101.151016,USA,1998,2,31,5.1,-3.3
4984,Rudy Gay,MEM,21,203.2,100.697424,USA,2006,1,8,20.1,-8.3
4985,Ryan Bowen,NOH,32,205.74,98.883056,USA,1998,2,55,2.2,3.1
4986,Shaquille O'Neal,PHX,36,215.9,147.4174,USA,1992,1,1,13.6,1.2
4987,Ryan Gomes,MIN,25,200.66,113.398,USA,2005,2,50,12.6,-7.1
4988,Salim Stoudamire,ATL,25,185.42,79.3786,USA,2005,2,31,5.7,-5.8
4989,Sam Cassell,BOS,38,190.5,83.91452,USA,1993,1,24,11.2,-3.7
4990,Samuel Dalembert,PHI,28,210.82,113.398,Haiti,2001,1,26,10.5,-0.7
4991,Sasha Pavlovic,CLE,24,200.66,108.408488,Montenegro,2003,1,19,7.4,-1.8
4992,Sasha Vujacic,LAL,24,200.66,92.98636,Slovenia,2004,1,27,8.8,5.4
4993,Scot Pollard,BOS,33,210.82,126.098576,USA,1997,1,19,1.8,4.9
4994,Sean Marks,PHX,32,208.28,113.398,New Zealand,1998,2,44,3.1,-20.1
4995,Sean Williams,NJN,21,208.28,106.59412,USA,2007,1,17,5.6,-7
4996,Sebastian Telfair,MIN,23,182.88,79.3786,USA,2004,1,13,9.3,-11.8
4997,Sergio Rodriguez,POR,22,190.5,76.203456,Spain,2006,1,27,2.5,-9.4
4998,Shane Battier,HOU,29,203.2,99.79024,USA,2001,1,6,9.3,6.2
4999,Ryan Hollins,CHA,23,213.36,104.32616,USA,2006,2,50,2.5,-2.2
5000,Kaniel Dickens,CLE,29,203.2,97.52228,USA,2000,2,50,0.4,0.8
5001,Kareem Rush,IND,27,198.12,97.52228,USA,2002,1,20,8.3,-2.5
5002,Kasib Powell,MIA,27,200.66,97.52228,USA,,,,7.6,-12.5
5003,Mike Miller,MEM,28,203.2,98.883056,USA,2000,1,5,16.4,-5.5
5004,Mike James,NOH,33,187.96,85.275296,USA,,,,5,-2.4
5005,Mike Harris,HOU,25,198.12,108.86208,USA,,,,3.6,3.5
5006,Mike Dunleavy,IND,27,205.74,104.32616,USA,2002,1,3,19.1,1
5007,Mike Conley,MEM,20,185.42,81.64656,USA,2007,1,4,9.4,-10.4
5008,Mike Bibby,ATL,30,185.42,86.18248,USA,1998,1,2,13.9,-1.9
5009,Mickael Pietrus,GSW,26,198.12,97.52228,France,2003,1,11,7.2,1.4
5010,Mickael Gelabale,SEA,25,200.66,97.52228,USA,2005,2,48,4.3,-5.7
5011,Michael Ruffin,MIL,31,203.2,112.490816,USA,1999,2,32,2,-3.7
5012,Michael Redd,MIL,28,198.12,97.52228,USA,2000,2,43,22.7,-7.5
5013,Michael Finley,SAS,35,200.66,102.0582,USA,1995,1,21,10.1,5.7
5014,Mike Wilks,SEA,29,177.8,81.64656,USA,,,,2.7,-3.7
5015,Michael Doleac,MIN,31,210.82,118.841104,USA,1998,1,12,2.4,-9.2
5016,Melvin Ely,NOH,30,208.28,118.387512,USA,2002,1,12,3.9,9.9
5017,Mehmet Okur,UTA,29,210.82,119.294696,Turkey,2001,2,37,14.5,7.4
5018,Maurice Evans,ORL,29,195.58,99.79024,USA,,,,8.9,5
5019,Maurice Ager,NJN,24,195.58,91.625584,USA,2006,1,28,2,-10.3
5020,Matt Harpring,UTA,32,200.66,104.32616,USA,1998,1,15,8.2,0.6
5021,Matt Carroll,CHA,27,198.12,96.161504,USA,,,,9,-2.7
5022,Matt Bonner,SAS,28,208.28,108.86208,USA,2003,2,45,4.8,6.1
5023,Matt Barnes,GSW,28,200.66,102.511792,USA,2002,2,45,6.7,1.6
5024,Marvin Williams,ATL,22,205.74,104.32616,USA,2005,1,2,14.8,-2.4
5025,Martell Webster,POR,21,200.66,103.872568,USA,2005,1,6,10.7,-3.3
5026,Marquis Daniels,IND,27,198.12,90.7184,USA,,,,8.2,0.7
5027,Metta World Peace,SAC,28,200.66,112.490816,USA,1999,1,16,20.5,1.2
5028,Marko Jaric,MIN,29,200.66,101.604608,Serbia,2000,2,30,8.3,-9
5029,Mikki Moore,SAC,32,213.36,102.0582,USA,,,,8.5,-2.2
5030,Monta Ellis,GSW,22,190.5,80.285784,USA,2005,2,40,20.2,3.6
5031,Chris Webber,GSW,35,208.28,111.13004,USA,1993,1,1,3.9,-8.8
5032,Quentin Richardson,NYK,28,198.12,106.59412,USA,2000,1,18,8.1,-10.3
5033,Primoz Brezec,TOR,28,215.9,115.66596,Slovenia,2000,1,27,2.2,-5.8
5034,Peja Stojakovic,NOH,31,208.28,103.872568,Serbia and Montenegro,1996,1,14,16.4,8.7
5035,Paul Pierce,BOS,30,200.66,106.59412,USA,1998,1,10,19.6,14
5036,Paul Millsap,UTA,23,203.2,117.026736,USA,2006,2,47,8.1,5.6
5037,Paul Davis,LAC,23,210.82,122.46984,USA,2006,2,34,2.5,-18.1
5038,Pau Gasol,LAL,27,213.36,113.398,Spain,2001,1,3,18.9,4.9
5039,Patrick O'Bryant,GSW,22,213.36,113.398,USA,2006,1,9,1.5,-15.8
5040,Pat Garrity,ORL,31,205.74,107.954896,USA,1998,1,19,2.1,1.7
5041,P.J. Brown,BOS,38,210.82,108.408488,USA,1992,2,29,2.2,-2.1
5042,Mo Williams,MIL,25,185.42,83.91452,USA,2003,2,47,17.2,-7.1
5043,Othella Harrington,CHA,34,205.74,106.59412,USA,1996,2,30,2.1,6
5044,Oleksiy Pecherov,WAS,22,213.36,106.140528,Ukraine,2006,1,18,3.6,-13.4
5045,Nick Young,WAS,23,198.12,90.7184,USA,2007,1,16,7.5,-9.1
5046,Nick Fazekas,LAC,23,210.82,106.59412,USA,2007,2,34,4.1,2.3
5047,Nick Collison,SEA,27,208.28,115.66596,USA,2003,1,12,9.8,-8.6
5048,Nene,DEN,25,210.82,113.398,Brazil,2002,1,7,5.3,0.5
5049,Ned Krstic,NJN,24,213.36,108.86208,Serbia and Montenegro,2002,1,24,6.6,-4.9
5050,zr Mohammed,CHA,30,208.28,113.398,USA,1998,1,29,7.8,-6.5
5051,te Robinson,NYK,24,175.26,81.64656,USA,2005,1,21,12.7,-5.8
5052,Mouhamed Sene,SEA,22,210.82,104.32616,Senegal,2006,1,10,2.3,-10.7
5053,Morris Peterson,NOH,30,200.66,99.79024,USA,2000,1,21,8,6
5054,Morris Almond,UTA,23,198.12,102.0582,USA,2007,1,25,1.4,-18.3
5055,Orien Greene,SAC,26,193.04,94.347136,USA,2005,2,53,0.9,-15.9
5056,Mark Madsen,MIN,32,205.74,113.398,USA,2000,1,29,0.5,-1.7
5057,Mark Blount,MIA,32,213.36,113.398,USA,1997,2,54,8.4,-11.5
5058,Mario West,ATL,24,195.58,95.25432,USA,,,,0.9,2.1
5059,Lance Allred,CLE,27,210.82,113.398,USA,,,,1,-81
5060,Lamar Odom,LAL,28,208.28,104.32616,USA,1999,1,4,14.2,8.1
5061,LaMarcus Aldridge,POR,22,210.82,111.13004,USA,2006,1,2,17.8,-0.1
5062,Kyrylo Fesenko,UTA,21,215.9,130.634496,Ukraine,2007,2,38,1.6,-2.9
5063,Kyle Lowry,MEM,22,182.88,79.3786,USA,2006,1,24,9.6,-5.2
5064,Kyle Korver,UTA,27,198.12,95.707912,USA,2003,2,51,9.9,6.6
5065,Kwame Brown,MEM,26,210.82,122.46984,USA,2001,1,1,4.8,-4.9
5066,Kurt Thomas,SAS,35,205.74,106.59412,USA,1995,1,10,6.3,-1.9
5067,Kris Humphries,TOR,23,205.74,106.59412,USA,2004,1,14,5.7,-1.6
5068,Kosta Perovic,GSW,23,218.44,108.86208,USA,2006,2,38,1.4,2.7
5069,Kobe Bryant,LAL,29,198.12,92.98636,USA,1996,1,13,28.3,8.5
5070,Larry Hughes,CHI,29,195.58,83.91452,USA,1998,1,8,12.2,-3.8
5071,Kirk Snyder,MIN,25,198.12,102.0582,USA,2004,1,16,7.3,-2.4
5072,Keyon Dooling,ORL,28,190.5,88.45044,USA,2000,1,10,8.1,6.4
5073,Kevin Ollie,PHI,35,187.96,88.45044,USA,,,,1.8,8.5
5074,Kevin Martin,SAC,25,200.66,83.91452,USA,2004,1,26,23.7,-1.4
5075,Kevin Garnett,BOS,32,210.82,99.79024,USA,1995,1,5,18.8,17
5076,Kevin Durant,SEA,19,205.74,97.52228,USA,2007,1,2,20.3,-11.7
5077,Kenyon Martin,DEN,30,205.74,108.86208,USA,2000,1,1,12.4,3.1
5078,Kenny Thomas,SAC,30,200.66,111.13004,USA,1999,1,22,1.4,-17.8
5079,Kendrick Perkins,BOS,23,208.28,119.748288,USA,2003,1,27,6.9,14.6
5080,Kelen Azubuike,GSW,24,195.58,99.79024,England,,,,8.5,0.7
5081,Keith Langford,SAS,24,193.04,97.52228,USA,,,,1,35.9
5082,Keith Bogans,ORL,28,195.58,97.52228,USA,2003,2,43,8.7,7.4
5083,Kirk Hinrich,CHI,27,190.5,86.18248,USA,2003,1,7,11.5,-2.6
5084,LeBron James,CLE,23,203.2,113.398,USA,2003,1,1,30,2.4
5085,Leandro Barbosa,PHX,25,190.5,91.625584,Brazil,2003,1,28,15.6,3.7
5086,Leon Powe,BOS,24,203.2,108.86208,USA,2006,2,49,7.9,7.6
5087,Mardy Collins,NYK,23,198.12,99.79024,USA,2006,1,29,3.2,-11.5
5088,Marcus Williams,LAC,21,200.66,93.893544,USA,2007,2,33,0.9,-1.1
5089,Marcus Williams,NJN,22,190.5,92.98636,USA,2006,1,22,5.9,-11.2
5090,Marcus Vinicius,NOH,24,203.2,102.0582,USA,2006,2,43,2.2,0.4
5091,Marcus Camby,DEN,34,210.82,106.59412,USA,1996,1,2,9.1,4.9
5092,Marcus Banks,MIA,26,187.96,96.161504,USA,2003,1,13,6.6,-6.4
5093,Marco Belinelli,GSW,22,195.58,87.089664,Italy,2007,1,18,2.9,-10.1
5094,Marcin Gortat,ORL,24,213.36,108.86208,Poland,2005,2,57,3,-0.3
5095,Manu Ginobili,SAS,30,198.12,92.98636,Argenti,1999,2,57,19.5,8.7
5096,Malik Rose,NYK,33,200.66,115.66596,USA,1996,2,44,3.5,-5.5
5097,Malik Allen,DAL,30,208.28,115.66596,USA,,,,4.6,-1.4
5098,Maceo Baston,TOR,32,208.28,104.32616,USA,1998,2,58,2.7,-4
5099,Luther Head,HOU,25,190.5,83.91452,USA,2005,1,24,7.6,4.6
5100,Luol Deng,CHI,23,205.74,99.79024,United Kingdom,2004,1,7,17,-4.3
5101,Luke Walton,LAL,28,203.2,106.59412,USA,2003,2,32,7.2,6.2
5102,Luke Ridnour,SEA,27,187.96,79.3786,USA,2003,1,14,6.4,-6.3
5103,Luke Jackson,MIA,26,200.66,97.52228,USA,2004,1,10,5.6,-2.5
5104,Luis Scola,HOU,28,205.74,111.13004,Argenti,2002,2,55,10.3,4.1
5105,Lou Williams,PHI,21,187.96,79.3786,USA,2005,2,45,11.5,-1.1
5106,Lou Amundson,PHI,25,205.74,102.0582,USA,,,,1.1,-5
5107,Lorenzen Wright,SAC,32,210.82,115.66596,USA,1996,1,7,0.8,-3.1
5108,Loren Woods,HOU,30,218.44,117.93392,USA,2001,2,45,0.9,31.3
5109,Linton Johnson,TOR,28,203.2,92.98636,USA,,,,2.6,-12.2
5110,Lindsey Hunter,DET,37,187.96,88.45044,USA,1993,1,10,2.4,4
5111,Lis Kleiza,DEN,23,203.2,111.13004,Lithuania,2005,1,27,11.1,6
5112,Tim Duncan,SAS,32,210.82,117.93392,US Virgin Islands,1997,1,1,19.3,7.8
5113,Tim Thomas,LAC,31,208.28,108.86208,USA,1997,1,7,12.4,-6.5
5114,Julian Wright,NOH,21,203.2,102.0582,USA,2007,1,13,3.9,3.6
5115,Tony Parker,SAS,26,187.96,81.64656,France,2001,1,28,18.8,7.6
5116,Al Thornton,LAC,24,203.2,99.79024,USA,2007,1,14,12.7,-9.2
5117,Alando Tucker,PHX,24,198.12,92.98636,USA,2007,1,29,3.7,-0.2
5118,Alexander Johnson,MIA,25,205.74,104.32616,USA,2006,2,45,4.2,-12.3
5119,Allen Iverson,DEN,33,182.88,81.64656,USA,1996,1,1,26.4,5.8
5120,Alonzo Mourning,MIA,38,208.28,118.387512,USA,1992,1,2,6,-0.4
5121,Amar'e Stoudemire,PHX,25,208.28,112.944408,USA,2002,1,9,25.2,8.3
5122,Amir Johnson,DET,21,205.74,95.25432,USA,2005,2,56,3.6,14.1
5123,Anderson Varejao,CLE,25,208.28,108.86208,Brazil,2004,2,30,6.7,2.8
5124,Andray Blatche,WAS,21,210.82,112.490816,USA,2005,2,49,7.5,-5.8
5125,Andre Barrett,LAC,26,177.8,78.471416,USA,,,,1.5,-32.1
5126,Andre Brown,MEM,27,205.74,111.13004,USA,,,,3,-12.2
5127,Al Jefferson,MIN,23,208.28,120.20188,USA,2004,1,15,21,-11.2
5128,Andre Iguodala,PHI,24,198.12,93.893544,USA,2004,1,9,19.9,-0.5
5129,Andre Owens,IND,27,193.04,90.7184,USA,,,,4,-0.4
5130,Andrea Bargni,TOR,22,213.36,113.398,Italy,2006,1,1,10.2,3.7
5131,Andrei Kirilenko,UTA,27,205.74,101.151016,Russia,1999,1,24,11,8.8
5132,Andres Nocioni,CHI,28,200.66,102.0582,Argenti,,,,13.2,-2.2
5133,Andrew Bogut,MIL,23,213.36,117.93392,Australia,2005,1,1,14.3,-6.6
5134,Andrew Bynum,LAL,20,213.36,129.27372,USA,2005,1,10,13.1,10.8
5135,Andris Biedrins,GSW,22,210.82,104.32616,Latvia,2004,1,11,10.5,5.3
5136,Anfernee Hardaway,MIA,36,200.66,97.52228,USA,1993,1,3,3.8,-4.8
5137,Antawn Jamison,WAS,32,205.74,106.59412,USA,1998,1,4,21.4,2.1
5138,Anthony Carter,DEN,33,187.96,88.45044,USA,,,,7.8,1.6
5139,Anthony Johnson,SAC,33,190.5,88.45044,USA,1997,2,39,5.6,-3.4
5140,Andre Miller,PHI,32,187.96,90.7184,USA,1999,1,8,17,-1.8
5141,Al Horford,ATL,22,208.28,111.13004,Dominican Republic,2007,1,3,10.1,-2.4
5142,Al Harrington,GSW,28,205.74,113.398,USA,1998,1,25,13.6,3
5143,Adrian Griffin,SEA,33,195.58,104.32616,USA,,,,1.9,0.4
5144,Darius Songaila,WAS,30,205.74,112.490816,Lithuania,2002,2,49,6.2,0.8
5145,Danny Granger,IND,25,203.2,103.418976,USA,2005,1,17,19.6,-2.1
5146,Daniel Gibson,CLE,22,187.96,87.996848,USA,2006,2,42,10.4,2.3
5147,Dan Gadzuric,MIL,30,210.82,111.13004,Netherlands,2002,2,33,3.2,-7.7
5148,Dan Dickau,LAC,29,182.88,81.64656,USA,2002,1,28,5.3,-4.1
5149,Damon Stoudamire,SAS,34,177.8,77.564232,USA,1995,1,7,5.3,-4.6
5150,Damon Jones,CLE,31,190.5,88.45044,USA,,,,6.5,0.2
5151,Damien Wilkins,SEA,28,198.12,102.0582,USA,,,,9.2,-12.1
5152,Dahntay Jones,SAC,27,198.12,95.25432,USA,2003,1,20,3.2,0.2
5153,Daequan Cook,MIA,21,195.58,92.98636,USA,2007,1,21,8.8,-11.7
5154,DJ Strawberry,PHX,23,195.58,91.171992,USA,2007,2,59,2.2,-3.2
5155,DJ Mbenga,LAL,27,213.36,115.66596,Democratic Republic of the Congo,,,,2,1.8
5156,Cuttino Mobley,LAC,32,193.04,97.52228,USA,1998,2,41,12.8,-7.8
5157,Craig Smith,MIN,24,203.2,113.398,USA,2006,2,36,9.4,-8.7
5158,Courtney Sims,IND,24,210.82,111.13004,USA,,,,0,-6.2
5159,Corey Maggette,LAC,28,198.12,102.0582,USA,1999,1,13,22.1,-5
5160,Corey Brewer,MIN,22,205.74,83.91452,USA,2007,1,7,5.8,-9.3
5161,Coby Karl,LAL,25,195.58,97.52228,USA,,,,1.8,16.1
5162,Chucky Atkins,DEN,33,180.34,83.91452,USA,,,,4.7,-1.6
5163,Chuck Hayes,HOU,25,198.12,107.954896,USA,,,,3,8.6
5164,Aaron Brooks,HOU,23,182.88,73.028312,USA,2007,1,26,5.2,-0.5
5165,Aaron Gray,CHI,23,213.36,122.46984,USA,2007,2,49,4.3,-1
5166,Aaron Williams,LAC,36,205.74,106.59412,USA,,,,2.3,-15.9
5167,Acie Law,ATL,23,190.5,88.45044,USA,2007,1,11,4.2,-7.2
5168,Adol Foyle,ORL,33,208.28,122.46984,St. Vincent & Gredines,1997,1,8,1.9,0.4
5169,Anthony Parker,TOR,33,198.12,97.52228,USA,1997,1,21,12.5,4
5170,Darius Washington,SAS,22,187.96,88.45044,USA,,,,2.9,1.3
5171,Antoine Walker,MIN,31,205.74,111.13004,USA,1996,1,6,8,-5.1
5172,Antonio Daniels,WAS,33,193.04,92.98636,USA,1997,1,4,8.4,0.2
5173,C.J. Watson,GSW,24,187.96,81.64656,USA,,,,3.7,1.9
5174,CJ Miles,UTA,21,198.12,99.79024,USA,2005,2,34,5,7.1
5175,Calvin Booth,PHI,32,210.82,113.398,USA,1999,2,35,0.8,-3
5176,Carl Landry,HOU,24,205.74,112.490816,USA,2007,2,31,8.1,6.5
5177,Carlos Arroyo,ORL,28,187.96,91.625584,Puerto Rico,,,,6.9,5.1
5178,Carlos Boozer,UTA,26,205.74,120.655472,USA,2002,2,34,21.1,7.2
5179,Carlos Delfino,TOR,25,198.12,104.32616,Argenti,2003,1,25,9,0.8
5180,Carmelo Anthony,DEN,24,203.2,104.32616,USA,2003,1,3,25.7,3.5
5181,Caron Butler,WAS,28,200.66,103.418976,USA,2002,1,10,20.3,3
5182,Casey Jacobsen,MEM,27,198.12,97.52228,USA,2002,1,22,2,0.4
5183,Cedric Simmons,CHI,22,205.74,106.59412,USA,2006,1,15,0.6,-20.2
5184,Bruce Bowen,SAS,37,200.66,90.7184,USA,,,,6,4.9
5185,Channing Frye,POR,25,210.82,112.490816,USA,2005,1,8,6.8,0.5
5186,Charlie Villanueva,MIL,23,210.82,105.233344,USA,2005,1,7,11.7,-10
5187,Chauncey Billups,DET,31,190.5,91.625584,USA,1997,1,3,17,10.3
5188,Cheikh Samb,DET,23,215.9,111.13004,USA,2006,2,51,1.8,9.2
5189,Chris Andersen,NOH,29,208.28,103.418976,USA,,,,1.2,3.8
5190,Chris Bosh,TOR,24,208.28,104.32616,USA,2003,1,4,22.3,7.8
5191,Chris Duhon,CHI,25,185.42,83.91452,USA,2004,2,38,5.8,-2.7
5192,Chris Kaman,LAC,26,213.36,120.20188,USA,2003,1,6,15.7,-5.1
5193,Chris Mihm,LAL,28,213.36,120.20188,USA,2000,1,7,3.6,-1.2
5194,Tony Allen,BOS,26,193.04,96.615096,USA,2004,1,25,6.6,9.4
5195,Chris Quinn,MIA,24,187.96,79.3786,USA,,,,7.8,-7.1
5196,Chris Richard,MIN,23,205.74,122.46984,USA,2007,2,41,1.9,-3.1
5197,Charlie Bell,MIL,29,190.5,90.7184,USA,,,,7.6,-8
5198,Brian Skinner,PHX,32,205.74,115.66596,USA,1998,1,22,3.3,-1
5199,Brian Scalabrine,BOS,30,205.74,106.59412,USA,2001,2,34,1.8,6.4
5200,Brian Cook,ORL,27,205.74,113.398,USA,2003,1,24,4.7,0.6
5201,Antonio McDyess,DET,33,205.74,111.13004,USA,1995,1,2,8.8,6.8
5202,Arron Afflalo,DET,22,195.58,97.52228,USA,2007,1,27,3.7,7.7
5203,Austin Croshere,GSW,33,208.28,106.59412,USA,1997,1,12,3.9,2.1
5204,Awvee Storey,MIL,31,198.12,102.0582,USA,,,,3.5,-11
5205,Baron Davis,GSW,29,190.5,97.52228,USA,1999,1,3,21.8,3.9
5206,Ben Gordon,CHI,25,190.5,90.7184,USA,2004,1,3,18.6,-6.5
5207,Ben Wallace,CLE,33,205.74,108.86208,USA,,,,4.8,-3.6
5208,Beno Udrih,SAC,25,190.5,92.98636,Slovenia,2004,1,28,12.8,-1.7
5209,Billy Thomas,CLE,32,195.58,99.79024,USA,,,,1.3,-5.3
5210,Blake Ahearn,MIA,24,187.96,86.18248,USA,,,,5.8,-23.6
5211,Bo Outlaw,ORL,37,203.2,99.79024,USA,,,,2,-36.8
5212,Bobby Jackson,HOU,35,185.42,83.91452,USA,1997,1,23,7.7,7
5213,Bobby Jones,DEN,24,200.66,97.52228,USA,2006,2,37,3.9,-7.2
5214,Bobby Simmons,MIL,28,198.12,104.32616,USA,2001,2,41,7.6,-8
5215,Bonzi Wells,NOH,31,195.58,95.25432,USA,1998,1,11,9.1,1.6
5216,Boris Diaw,PHX,26,203.2,106.59412,France,2003,1,21,8.8,4.3
5217,Bostjan chbar,NJN,27,205.74,100.243832,Slovenia,2002,1,15,9.8,-8.5
5218,Brad Miller,SAC,32,213.36,118.387512,USA,,,,13.4,0.8
5219,Brandan Wright,GSW,20,205.74,92.98636,USA,2007,1,8,4,-2.7
5220,Brandon Bass,DAL,23,203.2,108.86208,USA,2005,2,33,8.3,-0.7
5221,Brandon Roy,POR,23,198.12,103.872568,USA,2006,1,6,19.1,0.4
5222,Brendan Haywood,WAS,28,213.36,119.294696,USA,2001,1,20,10.6,1.2
5223,Brent Barry,SAS,36,200.66,95.25432,USA,1995,1,15,7.1,5.5
5224,Brevin Knight,LAC,32,177.8,77.11064,USA,1997,1,16,4.6,-9.9
5225,Brian Cardil,MEM,31,203.2,111.13004,USA,2000,2,44,3.4,0
5226,Antoine Wright,DAL,24,200.66,97.52228,USA,2005,1,15,6.3,-6.3
5227,Darko Milicic,MEM,23,213.36,124.7378,Serbia,2003,1,2,7.2,-8.7
5228,Chris Paul,NOH,23,182.88,79.3786,USA,2005,1,4,21.1,7.9
5229,Darrick Martin,TOR,37,180.34,77.11064,USA,,,,1.6,15.9
5230,Jason Collins,MEM,29,213.36,115.66596,USA,2001,1,18,1.9,-6.2
5231,Jarvis Hayes,DET,26,203.2,103.418976,USA,2003,1,10,6.7,4.1
5232,Jarron Collins,UTA,29,210.82,108.408488,USA,2001,2,52,1.7,6
5233,Jarrett Jack,POR,24,190.5,89.357624,USA,2005,1,22,9.9,-4
5234,Jared Jeffries,NYK,26,210.82,108.86208,USA,2002,1,11,3.7,-3.1
5235,Jared Dudley,CHA,22,200.66,102.0582,USA,2007,1,22,5.8,-2
5236,Jannero Pargo,NOH,28,185.42,79.3786,USA,,,,8.1,3.2
5237,James Posey,BOS,31,203.2,98.429464,USA,1999,1,18,7.4,5.5
5238,James Jones,POR,27,203.2,99.79024,USA,2003,2,49,8,1.4
